codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10
280010,Amparo de São Francisco,2380,51,89,140,452,172,297,92,63,0,0,41,94,34,0,65,0,0,49,0,0,26,17,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2794,1514,2475,657,382,18,0,471,832,623,0,144,5,0,297,17,0,136,207,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,90860,53620,96813,24618,25105,249,0,11652,24408,33602,65,202,1420,110,15608,239,0,775,7996,0,0,0,0,0
280040,Arauá,9947,149,348,644,982,642,1029,302,155,0,0,211,432,226,0,0,0,5,152,0,0,111,39,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1701,1041,1488,611,254,0,0,329,547,356,0,0,0,2,239,0,0,133,239,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2915,1685,2643,539,537,0,0,415,857,642,0,189,0,3,252,0,0,152,135,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,3356,2165,3017,841,578,9,0,562,1171,681,0,0,9,7,312,9,0,206,314,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1648,338,980,174,116,0,0,149,177,62,0,474,2,0,69,0,0,63,42,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2125,1545,2014,924,240,0,0,439,782,543,0,0,0,10,231,0,0,384,309,0,0,0,0,0
280110,Canhoba,4006,72,156,232,438,268,377,120,76,0,0,96,154,31,0,0,10,10,63,0,0,35,22,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2425,1365,1969,708,357,0,0,334,736,206,0,336,0,0,257,0,0,307,144,0,0,0,0,0
280130,Capela,34514,564,1121,2006,4093,1923,3563,639,638,0,0,633,1071,619,0,581,7,14,329,0,0,203,107,0,0,0,0,0
280140,Carira,22239,450,956,1559,2522,1762,2069,876,244,0,0,506,918,401,0,0,0,0,231,0,0,438,207,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1041,661,1006,367,278,0,0,139,323,261,0,0,0,5,246,0,0,59,62,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,808,497,794,251,130,0,0,131,285,237,0,0,6,5,126,0,0,51,74,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1637,1117,1484,536,296,0,0,291,452,437,0,0,7,1,296,0,0,138,102,0,0,0,0,0
280190,Cumbe,3998,94,198,262,774,344,669,189,70,0,0,95,198,134,0,170,2,0,68,0,0,35,86,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,484,324,492,223,118,0,0,78,147,147,0,0,1,1,110,0,0,32,81,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,7868,4281,7679,1657,1637,33,0,1161,2223,2403,0,222,0,0,691,33,0,603,330,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,603,403,535,197,73,0,0,99,232,131,0,0,0,0,68,0,0,86,43,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,1825,1195,1808,921,207,0,0,305,576,531,0,180,9,0,179,0,0,280,462,0,0,0,0,0
280240,Gararu,11601,203,448,701,1183,823,1115,433,140,0,0,257,508,210,0,0,0,0,115,0,0,233,85,0,0,0,0,0
280250,General Maynard,3384,47,109,207,363,233,345,143,98,0,0,53,104,90,0,0,0,0,87,0,0,18,38,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,793,553,718,325,104,0,0,165,277,172,0,0,0,0,73,0,0,158,94,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1162,472,959,207,117,0,0,186,258,129,0,267,1,1,87,0,0,65,55,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,1502,812,1345,383,222,0,0,278,439,285,0,111,10,0,179,0,0,94,110,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,10407,7442,9982,3696,2031,148,0,1908,3307,2505,0,0,44,39,1099,148,0,1584,865,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,3651,2331,3558,910,554,0,0,669,1192,1124,0,0,10,9,289,0,0,226,395,0,0,0,0,0
280310,Itabi,4886,115,264,446,703,493,571,303,91,0,0,102,270,108,0,0,0,0,84,0,0,101,118,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,3026,1936,2765,874,513,0,0,458,1200,594,0,0,0,0,464,0,0,209,201,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,2480,1360,1902,690,262,0,0,340,680,305,0,315,0,0,249,0,0,252,189,0,0,0,0,0
280340,Japoatã,13429,208,477,734,2005,815,1751,318,207,0,0,256,492,300,0,495,0,1,164,0,0,63,91,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,14670,8696,13047,3214,3326,48,0,2003,4028,2981,0,587,51,23,1541,45,0,728,900,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,5295,1445,3469,643,435,0,0,293,700,609,0,1412,3,17,396,0,0,101,146,0,0,0,0,0
280370,Macambira,6961,178,337,535,905,635,947,340,89,0,0,189,448,213,0,0,7,1,70,0,0,125,145,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,377,257,291,141,98,0,0,70,90,33,0,0,0,0,84,0,0,49,8,0,0,0,0,0
280390,Malhador,12653,203,468,914,1231,831,989,446,135,0,0,218,446,190,0,0,0,0,120,0,0,211,115,0,0,0,0,0
280400,Maruim,17271,179,453,898,1371,981,1408,596,254,0,0,255,523,369,0,0,6,1,239,0,0,145,212,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,1585,1145,1399,554,130,0,0,320,588,361,0,0,0,0,127,0,0,314,113,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,1234,854,1339,576,184,0,0,210,374,568,0,0,3,0,151,0,0,199,226,0,0,0,0,0
280430,Muribeca,7639,120,263,500,751,451,790,226,99,0,0,124,277,276,0,0,13,1,96,0,0,53,77,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,2116,1316,1795,367,379,0,0,342,632,442,0,0,0,0,261,0,0,58,48,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,1270,810,1201,422,138,0,0,217,446,307,0,90,0,3,130,0,0,212,80,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,3591,2468,3518,1444,776,20,0,683,1301,705,0,0,30,3,455,19,0,578,392,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,2899,2089,2388,1059,447,0,0,582,811,547,0,0,0,1,391,0,0,580,88,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,768,478,691,290,114,0,0,157,284,134,0,0,0,2,107,0,0,72,111,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,12946,8784,12991,3792,2195,36,0,1459,3716,5508,0,0,50,27,1060,36,0,1228,1468,0,0,0,0,0
280490,Pacatuba,14540,230,455,822,1259,739,1195,455,173,0,0,228,450,334,0,0,0,10,138,0,0,66,251,0,0,0,0,0
280500,Pedra Mole,3285,65,121,245,369,249,365,160,64,0,0,67,141,85,0,0,7,1,56,0,0,63,41,0,0,0,0,0
280510,Pedrinhas,9665,156,335,604,893,533,822,217,114,0,0,201,326,177,0,0,2,2,89,0,0,55,73,0,0,0,0,0
280520,Pinhão,6627,134,336,524,841,581,781,344,83,0,0,126,313,256,0,0,0,3,79,0,0,119,146,0,0,0,0,0
280530,Pirambu,9359,130,267,522,1146,686,1094,329,157,0,0,157,255,272,0,229,21,3,152,0,0,137,40,0,0,0,0,0
280540,Poço Redondo,35122,399,1056,1672,3376,2206,3051,994,394,0,0,477,1048,906,0,222,0,4,245,0,0,419,330,0,0,0,0,0
280550,Poço Verde,23867,576,1241,1828,3291,1851,3162,787,370,0,0,540,1041,1066,0,131,9,5,335,0,0,150,302,0,0,0,0,0
280560,Porto da Folha,28693,477,1002,1660,3347,2227,3263,1383,396,0,260,495,1013,726,0,364,5,4,344,0,260,474,305,0,0,0,0,0
280570,Propriá,29692,524,990,1914,3159,2020,3105,935,946,21,0,577,833,692,0,0,30,6,411,21,0,179,324,0,0,0,0,0
280580,Riachão do Dantas,19809,386,781,1181,2533,1413,2266,674,300,0,0,464,846,424,0,226,3,3,296,0,0,183,195,0,0,0,0,0
280590,Riachuelo,10284,116,275,517,1155,635,1045,329,203,0,0,133,248,293,0,160,5,3,197,0,0,66,66,0,0,0,0,0
280600,Ribeirópolis,18773,438,892,1340,2383,1763,2226,1058,366,48,0,441,824,517,0,0,20,10,285,48,0,397,328,0,0,0,0,0
280610,Rosário do Catete,11008,97,240,544,924,694,819,422,254,0,0,130,281,154,0,0,0,0,254,0,0,119,49,0,0,0,0,0
280620,Salgado,20025,352,780,1250,2117,1517,1975,913,266,0,0,407,804,494,0,0,0,4,228,0,0,362,323,0,0,0,0,0
280630,Santa Luzia do Itanhy,14121,156,374,758,3876,656,2006,276,160,0,0,181,382,252,0,1031,0,0,136,0,0,52,88,0,0,0,0,0
280650,Santa Rosa de Lima,3923,88,163,239,592,352,610,258,99,0,0,136,251,124,0,0,0,0,91,0,0,72,95,0,0,0,0,0
280640,Santana do São Francisco,7844,111,218,375,513,323,493,154,95,0,0,93,175,128,0,0,0,2,90,0,0,23,41,0,0,0,0,0
280660,Santo Amaro das Brotas,12151,205,399,774,1173,823,1378,380,165,0,0,233,411,566,0,0,3,0,152,0,0,209,19,0,0,0,0,0
280670,São Cristóvão,91093,989,2400,5663,7462,4395,6372,1251,1224,26,0,1054,2050,1964,0,30,24,0,587,25,0,298,341,0,0,0,0,0
