codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6
280010,Amparo de São Francisco,2380,51,89,140,142,82,144,50,56,0,0,41,47,0,45,0,0,5,0,0
280020,Aquidabã,21681,481,932,1543,1183,622,961,341,299,18,0,445,199,0,255,17,0,69,0,0
280030,Aracaju,664908,10149,24138,47854,45240,19280,48727,13297,19740,243,0,10105,18639,0,13061,236,0,0,0,0
280040,Arauá,9947,149,348,644,502,312,425,172,152,0,0,198,75,0,142,0,0,30,0,0
280050,Areia Branca,18686,281,548,1047,808,435,789,266,239,0,0,315,235,0,228,0,0,38,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,1295,505,1259,271,506,0,0,385,368,0,213,0,0,58,0,0
280067,Boquim,26899,476,1158,1852,1606,676,1522,373,558,9,0,551,404,0,264,9,0,100,0,0
280070,Brejo Grande,8353,121,199,417,288,138,215,79,68,0,0,141,6,0,55,0,0,24,0,0
280100,Campo do Brito,18218,408,774,1318,1019,799,891,382,233,0,0,411,247,0,215,0,0,167,0,0
280110,Canhoba,4006,72,156,232,218,108,174,65,64,0,0,92,18,0,52,0,0,13,0,0
280120,Canindé de São Francisco,30402,278,703,1214,865,665,809,300,272,0,0,321,216,0,213,0,0,87,0,0
280130,Capela,34514,564,1121,2006,1723,643,1340,348,565,0,0,599,176,0,231,0,0,117,0,0
280140,Carira,22239,450,956,1559,1102,832,922,283,232,0,0,446,244,0,201,0,0,80,2,0
280150,Carmópolis,16937,117,294,770,531,371,478,256,251,0,0,135,92,0,235,0,0,21,0,0
280160,Cedro de São João,5913,140,291,399,378,208,349,128,126,0,0,128,95,0,114,0,0,14,0,0
280170,Cristinápolis,18029,202,496,876,847,577,642,342,295,0,0,227,120,0,280,0,0,62,0,0
280190,Cumbe,3998,94,198,262,253,143,228,77,68,0,0,94,66,0,64,0,0,13,0,0
280200,Divina Pastora,5215,69,155,317,268,178,270,108,112,0,0,77,81,0,97,0,0,11,0,0
280210,Estância,69556,1093,2308,4544,3578,1598,2819,965,1271,33,0,970,545,0,751,33,0,181,0,0
280220,Feira Nova,5601,100,217,383,263,193,255,76,67,0,0,90,98,0,60,0,0,16,0,0
280230,Frei Paulo,15556,294,608,994,705,545,668,299,193,0,0,274,201,0,147,0,0,152,0,0
280240,Gararu,11601,203,448,701,523,393,459,172,128,0,0,250,81,0,93,0,0,79,0,0
280250,General Maynard,3384,47,109,207,193,123,187,98,88,0,0,52,47,0,85,0,0,13,0,0
280260,Gracho Cardoso,5824,150,281,469,373,293,324,101,83,0,0,164,77,0,72,0,0,29,0,0
280270,Ilha das Flores,8521,170,275,452,372,182,330,110,87,0,0,172,71,0,77,0,0,33,0,0
280280,Indiaroba,18149,221,453,850,632,342,526,207,180,0,0,242,104,0,167,0,0,40,0,0
280290,Itabaiana,96142,1449,3289,6024,5307,3177,4423,1360,1956,148,0,1552,767,0,1014,148,0,198,0,0
280300,Itabaianinha,42166,630,1353,2494,1799,739,1519,367,529,0,0,629,361,0,278,0,0,89,0,0
280310,Itabi,4886,115,264,446,313,243,268,71,87,0,0,99,82,0,57,0,0,14,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,1444,744,1186,507,471,0,0,421,294,0,434,0,0,73,0,0
280330,Japaratuba,18907,302,670,1215,910,660,739,292,257,0,0,289,193,0,238,0,0,54,0,0
280340,Japoatã,13429,208,477,734,625,325,513,188,184,0,0,227,102,0,147,0,0,41,0,0
280350,Lagarto,105221,1941,4108,7217,7185,3025,6696,1858,3209,48,0,1944,1495,0,1476,44,0,338,0,0
280360,Laranjeiras,30080,269,727,1448,1035,615,902,415,408,0,0,287,207,0,362,0,0,53,0,0
280370,Macambira,6961,178,337,535,415,325,384,99,71,0,0,170,143,0,61,0,0,38,0,0
280380,Malhada dos Bois,3699,55,111,180,237,137,218,81,90,0,0,93,35,0,75,0,0,6,0,0
280390,Malhador,12653,203,468,914,551,411,498,180,126,0,0,213,159,0,106,0,0,74,0,0
280400,Maruim,17271,179,453,898,681,531,584,245,240,0,0,225,119,0,204,0,0,41,0,0
280410,Moita Bonita,11348,318,611,904,725,545,574,178,130,0,0,313,131,0,111,0,0,67,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,565,425,527,182,153,0,0,196,178,0,129,0,0,52,1,0
280430,Muribeca,7639,120,263,500,351,201,314,112,97,0,0,132,85,0,87,0,0,23,2,0
280440,Neópolis,18703,361,698,1274,1006,546,807,298,339,0,0,308,160,0,261,0,0,37,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,470,370,431,172,129,0,0,200,102,0,123,0,0,49,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,1808,1058,1694,388,691,20,0,606,377,0,252,19,0,117,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,1379,1039,1019,446,377,0,0,432,210,0,357,0,0,89,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,368,228,314,107,110,0,0,132,72,0,92,0,0,15,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,5176,3204,5091,1334,2068,36,0,1378,1609,0,1032,36,0,263,3,0
280490,Pacatuba,14540,230,455,822,566,286,547,158,140,0,0,219,188,0,117,0,0,41,0,0
280500,Pedra Mole,3285,65,121,245,189,139,150,49,52,0,0,61,37,0,41,0,0,8,0,0
280510,Pedrinhas,9665,156,335,604,413,203,299,113,94,0,0,134,71,0,81,0,0,32,0,0
280520,Pinhão,6627,134,336,524,371,271,298,95,77,0,0,122,99,0,72,0,0,23,0,0
280530,Pirambu,9359,130,267,522,429,339,361,228,152,0,0,151,58,0,148,0,0,80,0,0
280540,Poço Redondo,35122,399,1056,1672,1306,826,1024,306,373,0,0,431,220,0,245,0,0,61,0,0
280550,Poço Verde,23867,576,1241,1828,1448,658,1103,324,328,0,0,510,265,0,245,0,0,79,0,0
280560,Porto da Folha,28693,477,1002,1660,1574,1214,1465,704,358,0,260,484,363,0,291,0,248,165,0,0
280570,Propriá,29692,524,990,1914,1619,659,1417,406,592,21,0,554,250,0,285,21,0,100,0,0
280580,Riachão do Dantas,19809,386,781,1181,1081,621,944,364,300,0,0,444,200,0,294,0,0,70,0,0
280590,Riachuelo,10284,116,275,517,455,325,397,210,197,0,0,132,68,0,191,0,0,19,0,0
280600,Ribeirópolis,18773,438,892,1340,1162,902,1102,426,290,48,0,430,334,0,250,48,0,127,1,0
280610,Rosário do Catete,11008,97,240,544,484,374,430,221,240,0,0,129,61,0,198,0,0,23,0,0
280620,Salgado,20025,352,780,1250,957,757,822,287,231,0,0,387,204,0,220,0,0,65,2,0
280630,Santa Luzia do Itanhy,14121,156,374,758,496,266,409,135,146,0,0,159,104,0,114,0,0,21,0,0
280650,Santa Rosa de Lima,3923,88,163,239,272,172,272,93,86,0,0,109,77,0,74,0,0,19,0,0
280640,Santana do São Francisco,7844,111,218,375,291,141,218,90,90,0,0,88,40,0,77,0,0,13,0,0
280660,Santo Amaro das Brotas,12151,205,399,774,553,423,429,177,157,0,0,221,51,0,138,0,0,39,0,0
280670,São Cristóvão,91093,989,2400,5663,3352,1392,2702,702,1095,26,0,1009,572,0,530,25,0,147,0,0
280680,São Domingos,11207,218,488,817,546,406,477,179,123,0,0,190,164,0,93,0,0,86,0,0
280690,São Francisco,3781,64,138,246,209,99,144,59,49,0,0,58,37,0,46,0,0,13,0,0
280700,São Miguel do Aleixo,3947,83,169,283,256,196,217,124,89,0,0,92,36,0,84,0,0,40,0,0
280710,Simão Dias,40606,914,1749,2657,2380,980,2375,500,667,12,0,1053,643,0,316,12,0,172,0,0
280720,Siriri,8970,154,316,533,383,313,368,210,126,0,0,156,86,0,106,0,0,103,1,0
280730,Telha,3249,49,100,178,199,119,194,76,78,0,0,60,56,0,66,0,0,10,0,0
280740,Tobias Barreto,52530,1046,2188,3513,2948,1218,3173,673,908,33,0,1130,1102,0,428,33,0,212,0,0
280750,Tomar do Geru,13535,208,446,760,586,266,417,147,152,0,0,184,81,0,112,0,0,35,0,0
280760,Umbaúba,25550,308,725,1482,1068,648,848,413,363,0,0,343,142,0,350,0,0,63,0,0
