codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose_unica
280010,Amparo de São Francisco,2380,51,89,140,1124,546,30,1021,263,67,0,0,42,99,141,0,182,27,0,0,0,22,179,44,1,0,0,19,0,0,36,0,0,2,42,46,52,10,0,38,1,65,0,0,40,94,41,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
280020,Aquidabã,21681,481,932,1543,8471,3564,210,7861,2544,472,18,0,485,861,1415,0,159,24,13,6,12,41,570,806,0,0,0,47,42,67,514,0,0,106,647,747,659,38,6,378,0,383,17,0,421,818,773,0,0,16,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
280030,Aracaju,664908,10149,24138,47854,300834,111160,11665,311746,95423,37593,349,0,11965,25304,47237,324,203,4852,376,0,0,37312,0,9593,284,630,450,821,1240,0,0,0,0,33,121359,0,0,2116,0,0,0,22548,339,0,11295,23545,25824,43,135,1665,273,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9705
280040,Arauá,9947,149,348,644,3529,1252,100,3411,1147,171,0,0,211,466,641,0,0,12,10,2,2,112,377,209,0,0,0,12,12,36,272,0,0,30,325,403,0,33,5,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
280050,Areia Branca,18686,281,548,1047,6884,1971,185,6669,1738,292,0,0,338,578,1030,1,0,62,8,3,8,127,675,254,180,494,0,28,24,61,446,0,0,0,630,615,559,49,9,87,1,253,0,0,297,562,410,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
280060,Barra dos Coqueiros,30930,358,816,1754,11409,4305,845,11655,3759,608,0,0,436,880,1730,1,201,85,25,6,10,104,1519,565,0,0,0,114,18,3,689,0,506,198,1018,1335,662,107,30,3,2,505,0,0,386,869,1135,0,1,37,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805
280067,Boquim,26899,476,1158,1852,10215,3896,255,9912,3350,718,9,0,570,1198,1797,0,0,68,24,3,8,128,1395,400,0,0,0,53,54,127,690,0,0,300,766,760,514,60,20,0,0,598,9,0,521,1182,743,0,0,22,16,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
280070,Brejo Grande,8353,121,199,417,3537,1778,75,3060,847,154,0,0,154,200,444,0,681,14,0,3,11,3,451,241,0,0,0,0,0,0,137,0,0,0,168,195,181,13,3,44,2,141,0,0,151,192,61,0,286,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
280100,Campo do Brito,18218,408,774,1318,6736,2665,175,6442,2216,323,0,0,438,812,1213,0,0,12,26,3,3,160,575,329,0,0,0,31,52,205,546,0,0,17,653,569,206,79,14,2,0,241,0,0,430,778,565,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
280110,Canhoba,4006,72,156,232,1464,518,40,1455,455,120,0,0,103,175,354,0,0,8,4,0,0,20,151,75,0,0,0,17,4,0,159,0,0,0,180,59,3,20,3,0,0,80,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,8453,2805,275,8014,2107,579,0,0,343,817,1270,0,417,76,13,6,18,126,1349,400,0,0,0,61,21,57,536,19,0,79,693,727,37,163,0,0,0,358,0,0,333,769,393,0,0,37,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,207
280130,Capela,34514,564,1121,2006,14258,4893,315,10993,3434,832,0,0,564,1112,1824,0,590,54,18,4,9,35,1893,522,0,0,0,112,0,0,0,0,0,229,716,894,1037,166,35,770,148,624,0,0,564,953,669,0,225,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
280140,Carira,22239,450,956,1559,7985,3162,195,7909,2933,369,0,0,512,968,1717,0,0,18,19,7,4,74,1531,375,0,0,0,26,0,0,454,0,0,0,551,626,432,46,18,153,0,287,0,0,489,968,1002,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
280150,Carmópolis,16937,117,294,770,4825,1311,155,4657,894,336,0,0,123,329,770,0,0,122,10,1,3,35,688,239,0,0,0,89,2,27,313,0,0,95,395,417,464,36,8,182,0,254,0,0,86,158,203,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
