codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044
280010,Amparo de São Francisco,2380,51,89,140,1000,306,926,249,65,0,0,42,99,139,0,182,27,0,0,0,20,171,44,1,0,0,18,0,0,32,0,0,1,26,33,26,63,0,0,40,94,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,7128,2964,6594,2402,462,18,0,482,859,1401,0,159,24,13,6,11,35,557,789,0,0,0,44,42,59,409,0,0,100,503,534,87,383,17,0,406,811,764,0,0,16,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,245239,93970,237235,66751,36466,349,0,11937,25236,46961,229,202,4758,374,0,0,0,37075,8222,282,630,446,821,1201,0,62046,0,0,0,0,0,0,21960,339,0,10828,18971,13657,43,113,620,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2835,1082,2675,1077,166,0,0,211,466,641,0,0,12,9,2,1,107,358,194,0,0,0,12,12,35,194,0,0,0,255,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5592,1701,5274,1529,274,0,0,338,576,1020,1,0,61,8,1,2,122,660,244,171,491,0,24,19,54,394,0,0,0,540,272,2,253,0,0,294,561,406,0,0,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,8928,3605,8015,2893,591,0,0,430,881,1696,0,201,83,25,6,7,92,1443,553,0,0,0,114,18,3,593,0,473,198,608,0,0,494,0,0,364,867,1112,0,1,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,8218,3436,7721,3052,708,9,0,568,1198,1776,0,0,67,23,2,8,111,1334,376,0,0,0,52,53,124,546,0,0,296,428,42,0,576,9,0,510,1182,737,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2945,628,2486,531,147,0,0,154,199,440,0,679,14,0,0,6,2,447,201,0,0,0,0,0,0,100,0,0,0,94,3,0,135,0,0,139,190,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,5562,2325,5183,2040,300,0,0,437,808,1208,0,0,12,22,3,3,152,560,322,0,0,0,29,52,174,502,0,0,0,517,82,0,241,0,0,430,778,565,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1208,458,1043,403,90,0,0,100,176,354,0,0,8,4,0,0,8,114,102,0,0,0,12,3,0,72,0,0,0,0,0,0,78,0,0,100,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,6431,1975,6439,1896,495,0,0,343,816,1254,0,412,75,13,5,14,108,1537,374,0,0,0,58,19,35,396,19,0,58,408,0,0,358,0,0,333,769,391,0,0,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,10406,3563,9202,2426,801,0,0,562,1111,1787,0,590,51,18,4,8,28,1840,496,0,0,0,112,17,97,499,0,0,53,566,555,7,612,0,0,552,884,327,0,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,6546,2812,6782,2702,330,0,0,511,968,1704,0,0,18,19,7,4,67,1497,368,0,0,0,26,0,82,376,0,0,0,405,400,0,280,0,0,489,959,949,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,3454,1081,3342,708,331,0,0,123,329,764,0,0,122,10,1,1,32,683,239,0,0,0,87,2,25,265,0,0,0,265,63,0,254,0,0,86,158,203,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,2065,839,1935,836,155,0,0,117,309,370,0,0,9,7,0,2,18,387,128,0,0,0,16,0,0,153,0,0,0,158,106,0,131,0,0,138,306,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,4458,2037,4124,1733,352,0,0,293,493,791,0,0,12,7,1,6,59,822,219,0,0,0,22,25,7,219,0,0,0,230,266,300,306,0,0,252,480,682,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280190,Cumbe,3998,94,198,262,1539,534,1475,518,83,0,0,98,199,250,0,189,8,0,1,0,34,134,68,0,0,0,7,9,13,113,0,0,0,133,112,24,70,0,0,96,198,146,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,1466,500,1287,493,140,0,0,78,150,241,0,0,13,1,0,2,35,113,159,0,0,0,33,0,8,90,0,0,9,127,88,0,117,0,0,68,148,142,0,0,10,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,22485,8448,19430,5673,2141,33,0,1280,2067,4144,1,261,300,28,64,197,104,3948,936,118,228,0,0,461,155,642,115,3,45,782,1377,0,1449,33,0,1236,1869,797,0,206,59,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,1664,623,1453,562,83,0,0,108,210,347,0,0,8,2,1,3,39,220,109,0,0,0,15,0,49,120,0,0,8,131,0,0,78,0,0,107,208,160,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,4638,1675,4728,1582,241,0,0,307,595,1010,0,183,14,3,3,7,155,620,261,0,0,0,61,11,97,426,0,0,211,334,189,0,207,0,0,293,574,499,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280240,Gararu,11601,203,448,701,3322,1368,2725,1206,149,4,0,257,517,712,0,0,15,6,0,0,8,210,221,0,0,0,14,9,4,284,0,0,23,248,44,0,132,4,0,248,507,298,0,0,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,987,392,997,376,112,0,0,52,106,210,0,0,26,2,1,1,59,150,76,0,0,0,33,0,1,81,0,0,0,87,0,0,98,0,0,50,106,117,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1963,823,1978,793,126,0,0,172,286,479,0,0,14,5,0,4,55,440,17,0,0,0,22,3,10,121,99,0,0,115,10,0,95,0,0,172,281,236,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
