codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose1_grupo37_1819,aplicadas_dose1_grupo38_1517,aplicadas_dose1_grupo39_1214,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose2_grupo37_1819,aplicadas_dose2_grupo38_1517,aplicadas_dose2_grupo39_1214,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024,aplicadas_dose_unica_grupo37_1819,aplicadas_dose_unica_grupo38_1517,aplicadas_dose_unica_grupo39_1214
280010,Amparo de São Francisco,2380,51,89,140,1669,1235,30,1558,1080,30,72,0,0,42,99,146,0,183,27,0,208,45,1,0,0,19,0,0,43,0,0,2,45,60,68,19,0,96,103,10,102,118,50,0,0,69,0,0,41,98,139,0,182,27,0,188,37,1,0,0,18,0,0,35,0,0,1,20,23,24,17,0,43,29,6,48,34,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,1,0,0,0,0
280020,Aquidabã,21681,481,932,1543,15239,9036,210,12688,6211,210,473,18,0,486,872,1454,0,166,24,48,644,811,0,0,0,47,42,68,590,0,0,106,771,916,903,68,15,834,938,10,928,983,448,12,13,445,17,0,443,854,1392,0,146,28,20,413,684,0,0,0,39,31,12,345,0,0,56,333,149,237,22,7,166,126,2,238,6,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,481707,295612,12715,450314,224508,12589,40239,249,3,12174,25018,45158,278,203,5140,1113,39251,8617,284,770,453,852,1269,14,20775,851,5,721,25139,28693,30686,3281,651,29066,36345,198,37993,35913,14144,4768,0,49492,235,0,11706,32054,43753,134,144,3941,290,13039,3251,83,1099,147,225,476,17,14318,404,3,30,14245,14605,8788,1257,500,2398,4016,102,2689,937,130,0,0,819,79,0,35,45,62,229,0,70,18,134,671,0,0,1,0,5,0,129,3,0,43,77,495,3125,0,0,2674,1513,0,749,1430,183,0,0
280040,Arauá,9947,149,348,644,6797,4289,100,6738,3275,102,174,0,0,211,468,652,0,0,12,113,386,204,0,0,0,12,12,36,323,0,0,30,348,776,426,78,14,741,585,26,454,467,190,0,0,172,0,0,211,471,666,0,1,10,64,280,94,0,0,0,12,2,0,208,0,0,30,498,175,95,1,4,210,55,1,14,1,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,12664,7554,185,12284,6202,198,300,0,0,346,592,1067,1,0,63,128,673,256,180,529,0,28,25,67,494,0,0,0,712,787,883,88,18,909,968,1,1220,1491,458,0,0,259,0,0,313,582,1166,0,0,58,18,76,168,0,0,0,18,1,4,548,0,0,0,599,403,1010,27,9,257,303,0,305,66,12,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,20559,10922,845,20325,8564,967,637,0,0,437,889,1773,1,201,85,105,1531,565,0,0,0,114,18,3,799,0,506,253,1202,1672,1509,195,50,1846,1657,49,1697,1784,747,0,0,553,0,0,393,894,1780,0,37,67,47,748,410,0,0,0,68,4,1,828,2,370,158,752,548,175,12,6,305,106,1,193,81,25,0,0,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,18917,10162,255,16604,8487,252,722,9,0,572,1204,1831,0,0,68,152,1477,400,0,0,0,54,56,127,801,0,0,300,941,1087,1099,120,37,1163,1114,26,1129,1108,533,246,228,637,9,0,531,1197,1732,0,0,48,6,601,296,0,0,0,34,49,36,1014,0,0,128,744,571,212,36,9,274,244,2,64,13,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,1,0,0,0
280070,Brejo Grande,8353,121,199,417,5384,3886,75,5052,2459,75,155,0,0,155,207,453,0,712,14,16,465,255,0,0,0,0,0,0,169,0,0,0,207,254,310,57,14,297,372,14,339,398,186,1,2,153,0,0,156,209,340,0,598,12,1,356,171,0,0,0,0,0,0,66,0,0,0,70,43,74,7,0,41,38,0,47,74,3,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,12772,7549,175,11464,6071,175,337,0,0,439,816,1245,0,0,15,160,614,333,0,0,0,32,52,218,601,0,0,20,765,794,728,114,21,936,813,22,875,1088,426,0,0,303,0,0,432,793,1174,0,0,12,50,299,237,0,0,0,14,44,29,581,0,0,0,548,397,268,40,5,280,205,5,87,265,3,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,2803,2061,40,2534,1342,40,108,0,0,97,178,250,0,147,8,22,156,106,0,0,0,17,4,0,150,0,0,0,189,149,180,15,4,157,193,0,146,160,98,0,0,90,0,0,97,179,183,0,127,8,8,127,93,0,0,0,3,4,0,44,0,0,0,26,21,55,1,1,67,96,0,51,38,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,11,18,4,0,0,2,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,19041,8121,275,17187,6795,275,599,0,0,347,826,1321,0,437,80,153,1410,414,0,0,0,64,21,69,687,20,0,86,929,1092,1256,256,55,1383,1410,68,1473,1858,842,16,15,584,0,0,340,834,1315,0,398,76,91,1240,352,0,1,0,42,20,39,329,3,0,32,434,194,85,142,44,104,38,20,37,1,0,0,0,21,0,0,0,0,4,0,0,0,4,13,7,0,0,0,8,1,10,20,0,0,0,25,77,85,0,0,0,0,0,0,0,0,0,0
