codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose1_grupo37_1819,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose2_grupo37_1819,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024,aplicadas_dose_unica_grupo37_1819
280010,Amparo de São Francisco,2380,51,89,140,1549,1020,30,1534,747,30,72,0,0,42,99,146,0,183,27,0,208,45,1,0,0,19,0,0,43,0,0,2,45,57,65,19,0,95,102,10,97,112,45,68,0,0,41,98,136,0,180,27,0,87,18,0,0,0,0,0,0,5,0,0,1,8,15,18,10,0,32,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,1,0,0
280020,Aquidabã,21681,481,932,1543,13953,6942,210,11921,4343,210,473,18,0,485,869,1442,0,166,24,48,644,811,0,0,0,47,42,68,572,0,0,106,734,881,857,68,15,782,858,10,810,772,319,419,17,0,442,844,1321,0,142,26,8,268,463,0,0,0,2,1,0,37,0,0,2,55,50,112,14,7,88,24,0,1,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,448205,210366,12715,388824,141036,12037,39009,317,0,11974,25330,47350,355,203,5022,26,38299,10132,285,630,454,824,1279,2,136263,0,3,630,526,1,15,3264,0,17,24014,89,22259,20252,0,30678,255,1,11631,25929,42124,64,141,3200,220,8310,668,5,8,6,39,69,1,12482,0,0,7,572,77,720,1118,0,1,6,23,2703,1,0,6,2,0,0,0,4,5,0,0,0,6,2,0,0,1,0,0,0,11635,0,0,39,0,0,0,0,0,0,0,0,0,337,0
280040,Arauá,9947,149,348,644,6203,3014,100,5891,2541,102,174,0,0,211,468,650,0,0,12,113,386,204,0,0,0,12,12,36,322,0,0,30,347,763,416,70,12,309,554,26,348,299,117,167,0,0,211,471,665,0,1,10,22,192,21,0,0,0,0,0,0,88,0,0,28,485,91,56,0,1,9,23,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,11624,5715,185,11597,4166,198,300,0,0,341,586,1054,1,0,63,128,673,256,180,529,0,28,25,67,479,0,0,0,702,755,840,87,18,854,892,1,1118,1287,333,259,0,0,312,579,1099,0,0,58,10,69,168,0,0,0,18,1,4,180,0,0,0,138,165,856,26,8,121,58,0,15,20,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,18877,8143,845,19353,5529,967,637,2,0,437,887,1768,1,201,85,104,1531,565,0,0,0,114,18,3,786,0,506,253,1176,1632,1442,194,49,1746,1547,28,1550,1584,507,534,0,0,391,887,1709,0,37,63,18,538,167,0,0,0,3,0,0,272,2,215,1,194,159,85,5,0,177,42,0,21,9,0,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0,0
280067,Boquim,26899,476,1158,1852,17319,8039,255,15369,5941,252,722,9,0,572,1204,1824,0,0,68,152,1434,400,0,0,0,54,56,127,786,0,0,300,918,1052,1050,113,36,1100,1027,25,1004,915,421,620,9,0,530,1194,1687,0,0,26,3,111,135,0,0,0,0,4,2,608,0,0,1,326,411,102,32,8,108,12,0,7,5,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,1,0
280070,Brejo Grande,8353,121,199,417,5028,3065,75,4772,2006,75,155,0,0,154,205,449,0,711,14,16,465,255,0,0,0,0,0,0,164,0,0,0,197,250,292,49,13,283,338,13,289,318,142,149,0,0,156,205,324,0,592,12,0,335,88,0,0,0,0,0,0,5,0,0,0,13,26,54,5,0,25,13,0,3,1,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0,0
280100,Campo do Brito,18218,408,774,1318,11650,5508,175,10941,3863,175,337,0,0,438,815,1231,0,0,15,160,614,333,0,0,0,32,52,218,592,0,0,20,742,763,697,113,21,883,763,22,783,952,345,288,0,0,432,789,1119,0,0,11,34,249,207,0,0,0,5,21,7,162,0,0,0,103,170,143,34,3,76,6,4,3,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,2619,1590,40,2460,851,40,108,0,0,97,178,250,0,147,8,22,156,106,0,0,0,17,4,0,149,0,0,0,189,147,176,15,4,155,190,0,132,123,87,87,0,0,97,178,178,0,53,8,3,59,21,0,0,0,2,0,0,4,0,0,0,8,20,37,1,0,41,52,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,11,18,4,0,0,2,0,0,0,0,0
