codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,642,222,492,199,63,0,0,42,96,117,0,153,21,0,0,0,0,0,0,56,0,0,26,83,34,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,4544,2054,3246,1681,401,18,0,481,854,1301,0,155,23,10,0,0,1,0,2,371,17,0,158,751,384,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,145715,55700,116431,39436,30885,349,0,11792,24923,44138,73,202,2935,356,40,0,0,4,734,18278,339,0,1088,14335,5305,41,50,1,0,0
280040,Arauá,9947,149,348,644,1812,832,1498,854,164,0,0,211,466,621,0,0,11,15,0,0,0,0,10,162,0,0,111,461,120,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,3072,1401,2228,1279,260,0,0,336,570,947,0,0,61,7,0,0,0,0,47,250,0,0,144,542,343,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,5235,2245,3832,1720,577,0,0,424,873,1564,0,201,70,23,0,1,2,1,96,355,0,0,179,793,393,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,5631,2806,4118,2420,601,9,0,564,1192,1679,0,0,27,19,0,0,1,2,24,474,9,0,227,1156,554,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2168,478,1829,387,133,0,0,153,199,413,0,668,13,0,0,0,0,0,250,111,0,0,66,187,23,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,3660,1995,2786,1658,263,0,0,439,784,1178,0,0,10,19,0,1,0,10,82,238,0,0,430,703,287,0,0,0,0,0
280110,Canhoba,4006,72,156,232,733,358,690,325,83,0,0,98,175,324,0,0,10,0,0,0,0,0,0,75,0,0,43,154,53,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,4095,1775,3416,1615,442,0,0,340,801,1169,0,393,50,12,0,3,3,3,200,350,0,0,330,735,200,0,0,0,0,0
280130,Capela,34514,564,1121,2006,6518,2143,4781,1738,709,0,0,571,1099,1667,0,582,37,17,0,0,2,0,97,570,0,0,241,836,91,0,0,0,0,0
280140,Carira,22239,450,956,1559,4292,2342,3465,2205,308,0,0,508,961,1637,0,0,17,15,0,0,0,0,19,243,0,0,472,910,580,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,2091,881,1519,553,282,0,0,140,327,699,0,0,46,8,0,0,0,0,17,255,0,0,46,146,106,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1313,657,963,655,142,0,0,117,308,362,0,0,9,6,0,1,2,0,16,130,0,0,52,284,189,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,2767,1397,1869,1143,303,0,0,292,489,756,0,0,12,6,0,0,0,0,11,300,0,0,152,442,249,0,0,0,0,0
