codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose_unica
280010,Amparo de São Francisco,2380,51,89,140,1062,546,970,249,66,0,0,42,99,140,0,182,27,0,0,0,21,177,44,1,0,0,18,0,0,34,0,0,2,34,39,44,0,0,63,0,0,40,94,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,7963,3564,7589,2427,469,18,0,485,861,1409,0,159,24,13,6,12,39,568,800,0,0,0,47,42,65,487,0,0,105,625,688,642,20,5,383,17,0,418,818,769,0,0,16,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,280739,111160,274317,78816,37010,349,0,11961,25283,47134,275,203,4825,376,0,0,35282,0,9219,284,630,449,821,1207,0,93424,0,0,0,0,0,0,1705,0,22109,339,0,11175,22847,16376,43,121,1602,273,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3880
280040,Arauá,9947,149,348,644,3291,1252,3136,1089,171,0,0,211,466,641,0,0,12,10,2,2,111,377,204,0,0,0,12,12,36,272,0,0,30,311,230,0,24,2,162,0,0,211,466,229,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,6445,1971,6099,1535,291,0,0,338,577,1026,1,0,62,8,3,8,124,673,254,180,494,0,27,24,58,438,0,0,0,607,549,343,13,1,253,0,0,295,562,410,0,0,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,10438,4305,10488,3175,591,0,0,432,882,1728,1,201,85,25,6,10,103,1516,572,0,0,0,115,18,3,693,0,505,198,1032,1210,211,84,25,501,0,0,383,869,1122,0,1,37,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
280067,Boquim,26899,476,1158,1852,9516,3896,9232,3087,717,9,0,569,1198,1792,0,0,68,23,3,8,126,1383,395,0,0,0,52,54,127,664,57,0,300,728,656,239,51,13,595,9,0,519,1182,741,0,0,22,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,3367,1778,2936,547,149,0,0,154,200,444,0,679,14,0,3,11,3,450,239,0,0,0,0,0,0,134,0,0,0,158,169,122,5,2,138,0,0,151,191,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,6323,2665,5738,2040,314,0,0,437,810,1212,0,0,12,23,3,3,156,567,324,0,0,0,30,52,191,528,0,0,16,614,413,4,25,4,241,0,0,430,778,565,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1376,518,1284,453,96,0,0,103,175,354,0,0,8,4,0,0,13,150,75,0,0,0,17,4,0,142,0,0,0,114,22,0,6,1,78,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,7782,2805,7693,1900,571,0,0,343,816,1269,0,415,78,13,6,18,120,1341,399,0,0,0,60,19,47,529,19,0,79,676,691,0,142,42,358,0,0,333,769,393,0,0,37,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,12515,4893,9522,2601,827,0,0,563,1111,1814,0,590,54,18,4,9,34,1877,518,0,0,0,112,17,107,594,0,0,228,681,22,159,151,32,615,0,0,559,909,465,0,0,35,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,7521,3162,7504,2802,367,0,0,511,968,1714,0,0,18,19,7,4,68,1490,372,0,0,0,26,0,92,527,0,0,2,515,570,184,35,15,287,0,0,489,968,1002,0,0,11,14,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,4282,1311,3732,894,334,0,0,123,329,768,0,0,122,10,1,3,26,687,239,0,0,0,87,2,26,285,0,0,0,354,316,1,16,3,254,0,0,254,144,203,0,0,31,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,2318,939,2210,836,168,0,0,117,309,373,0,0,9,7,0,2,19,392,129,0,0,0,16,0,0,168,0,0,0,185,185,125,6,0,131,0,0,138,306,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,5272,2207,4361,1813,360,0,0,293,493,796,0,0,12,7,1,5,69,853,271,0,0,0,24,26,6,250,0,0,0,298,325,263,8,1,306,0,0,252,488,751,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
