codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,532,212,492,189,63,0,0,42,96,117,0,153,21,0,0,54,0,0,26,83,26,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3354,2004,3106,1556,394,18,0,478,850,1193,0,144,20,9,0,351,17,0,157,736,295,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,110715,55200,110463,35284,28583,249,0,11763,24707,42199,73,202,2301,350,36,17324,239,0,909,15164,1557,41,50,1,0,0
280040,Arauá,9947,149,348,644,1322,812,1326,736,162,0,0,211,466,471,0,0,7,9,0,162,0,0,113,461,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,2252,1371,2131,1192,260,0,0,335,569,899,0,0,61,7,0,242,0,0,143,529,278,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3775,2195,3516,1603,560,0,0,424,867,1372,0,201,70,22,0,280,0,0,178,787,358,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,4166,2746,3869,2121,598,9,0,563,1186,1468,0,0,27,18,0,324,9,0,226,1134,428,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1848,458,1545,347,133,0,0,154,197,391,0,657,13,0,0,101,0,0,65,180,1,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2755,1955,2664,1555,259,0,0,439,784,1153,0,0,10,19,0,238,0,0,429,692,196,0,0,0,0,0
280110,Canhoba,4006,72,156,232,548,348,589,294,82,0,0,98,173,226,0,0,10,0,0,74,0,0,42,143,35,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,3035,1735,3028,1606,420,0,0,341,794,1032,0,392,39,10,0,350,0,0,326,733,197,0,0,0,0,0
280130,Capela,34514,564,1121,2006,5043,2093,4571,1588,661,0,0,639,1093,1555,0,582,25,16,0,441,0,0,241,829,77,0,0,0,0,0
280140,Carira,22239,450,956,1559,3172,2292,3397,2014,306,0,0,508,959,1598,0,0,12,14,0,241,0,0,470,902,401,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1481,861,1642,545,281,0,0,140,325,855,0,0,33,8,0,254,0,0,46,137,108,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,988,637,936,567,139,0,0,117,307,358,0,0,9,6,0,130,0,0,52,283,102,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,2017,1367,1824,1126,302,0,0,292,486,726,0,0,12,6,0,299,0,0,152,441,234,0,0,0,0,0
280190,Cumbe,3998,94,198,262,904,424,782,404,70,0,0,98,198,225,0,183,8,0,0,70,0,0,39,196,99,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,668,408,590,395,131,0,0,79,148,218,0,0,13,1,0,116,0,0,32,145,102,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,10398,5298,10138,3702,1972,33,0,1225,2346,3992,0,261,280,29,0,998,33,0,1103,1568,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,773,533,677,327,74,0,0,100,232,262,0,0,8,1,0,70,0,0,98,159,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,2275,1505,2241,1396,215,0,0,307,590,937,0,180,9,3,0,205,0,0,284,565,342,0,0,0,0,0
280240,Gararu,11601,203,448,701,1463,1063,1445,828,140,4,0,257,515,509,0,0,14,6,0,126,4,0,244,404,50,0,0,0,0,0
280250,General Maynard,3384,47,109,207,483,303,494,280,104,0,0,52,106,206,0,0,24,2,0,94,0,0,21,106,59,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1013,703,986,632,108,0,0,166,282,416,0,0,8,6,0,79,0,0,162,269,122,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1382,612,1274,545,120,0,0,186,271,379,0,309,6,3,0,109,0,0,81,247,108,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,1842,1082,1689,876,229,0,0,280,437,585,0,117,31,10,0,209,0,0,112,378,177,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,13367,8117,13257,6513,2171,227,0,1946,3389,5345,0,0,125,54,0,1112,156,0,1668,2834,743,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,4821,3031,4514,2456,562,0,0,690,1225,1962,0,0,55,20,0,310,0,0,253,1178,715,0,0,0,0,0
280310,Itabi,4886,115,264,446,913,633,812,537,91,0,0,105,280,329,0,0,3,4,0,88,0,0,103,257,89,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,3921,2476,3860,2050,551,0,0,461,1243,1547,0,0,44,14,0,518,0,0,232,966,334,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,3040,1750,2572,1347,273,0,0,298,699,951,0,315,26,10,0,260,0,0,286,625,176,0,0,0,0,0
280340,Japoatã,13429,208,477,734,2315,1065,2247,849,214,0,0,256,496,734,0,524,10,13,0,204,0,0,85,426,134,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,18290,10890,16880,7886,3472,48,0,2018,4114,6353,0,661,152,62,0,1843,46,0,811,3449,1737,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,5995,1855,4739,1398,464,0,0,295,712,1214,0,1944,90,20,0,408,0,0,109,657,224,0,0,0,0,0
280370,Macambira,6961,178,337,535,1125,825,1001,681,98,0,0,185,316,389,0,0,9,4,0,92,0,0,143,314,132,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,467,317,476,246,101,0,0,62,124,175,0,0,9,5,0,95,0,0,48,89,14,0,0,0,0,0
280390,Malhador,12653,203,468,914,1661,1101,1620,977,154,0,0,221,491,733,0,0,11,10,0,135,0,0,218,435,189,0,0,0,0,0
280400,Maruim,17271,179,453,898,1861,1251,1774,1068,258,0,0,241,531,695,0,0,45,4,0,250,0,0,220,482,116,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,1985,1445,1958,1236,132,0,0,322,607,877,0,0,11,9,0,129,0,0,320,571,216,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,1598,1124,1547,977,185,0,0,212,442,701,0,0,3,4,0,184,0,0,207,370,216,0,0,0,0,0
280430,Muribeca,7639,120,263,500,991,601,992,448,105,0,0,125,283,465,0,0,13,1,0,98,0,0,59,249,42,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,2656,1706,2427,1335,402,0,0,405,674,911,0,0,27,8,0,371,0,0,133,502,329,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,1550,1170,1517,999,140,0,0,220,442,586,0,120,4,5,0,137,0,0,215,430,217,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,4621,2671,4292,2268,818,20,0,686,1329,1386,0,0,46,7,0,508,19,0,642,1099,0,0,0,0,0,0
