codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,532,212,460,189,63,0,0,41,94,89,0,153,20,0,0,54,0,0,26,83,26,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3354,2004,2932,1459,386,18,0,477,845,1034,0,144,20,8,0,347,17,0,154,689,252,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,110715,55200,108319,35179,27253,249,0,11763,24707,41817,71,202,1958,288,11,17317,239,0,909,15116,1557,41,0,0,0,0
280040,Arauá,9947,149,348,644,1322,812,1176,734,162,0,0,211,466,321,0,0,7,9,0,162,0,0,111,461,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,2252,1371,1850,1168,256,0,0,334,560,687,0,0,10,3,0,242,0,0,142,527,257,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3775,2195,3122,1407,557,0,0,423,861,1035,0,191,37,18,0,276,0,0,175,757,199,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,4166,2746,3481,2062,583,9,0,563,1183,1102,0,0,23,18,0,322,9,0,225,1123,383,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1848,458,1410,331,133,0,0,152,192,266,0,657,10,0,0,92,0,0,65,173,1,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2755,1955,2497,1452,242,0,0,439,784,1004,0,0,10,18,0,235,0,0,429,592,196,0,0,0,0,0
280110,Canhoba,4006,72,156,232,548,348,413,243,79,0,0,97,169,58,0,0,10,0,0,73,0,0,42,128,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,3035,1735,2697,1587,404,0,0,341,789,734,0,392,27,10,0,347,0,0,325,725,190,0,0,0,0,0
280130,Capela,34514,564,1121,2006,5043,2093,4028,1559,651,0,0,636,1083,1036,0,582,25,15,0,412,0,0,241,829,77,0,0,0,0,0
280140,Carira,22239,450,956,1559,3172,2292,2540,1580,279,0,0,508,936,795,0,0,12,10,0,236,0,0,457,770,117,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1481,861,1345,428,281,0,0,140,324,555,0,0,33,12,0,254,0,0,47,97,30,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,988,637,915,567,132,0,0,117,307,345,0,0,9,5,0,130,0,0,52,283,102,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,2017,1367,1737,914,299,0,0,383,470,568,0,0,11,6,0,296,0,0,146,402,70,0,0,0,0,0
280190,Cumbe,3998,94,198,262,904,424,757,397,70,0,0,98,198,213,0,170,8,0,0,70,0,0,38,193,96,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,668,408,575,386,126,0,0,79,147,210,0,0,12,1,0,116,0,0,32,145,93,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,10398,5298,8950,3317,1637,33,0,1161,2316,3359,0,261,153,30,0,784,33,0,1103,1397,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,773,533,627,325,74,0,0,100,232,212,0,0,8,1,0,70,0,0,98,157,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,2275,1505,2183,1379,212,0,0,305,589,885,0,180,9,3,0,205,0,0,284,556,334,0,0,0,0,0
280240,Gararu,11601,203,448,701,1463,1063,1300,788,140,4,0,257,514,367,0,0,13,5,0,123,4,0,242,373,46,0,0,0,0,0
280250,General Maynard,3384,47,109,207,483,303,453,279,101,0,0,53,106,185,0,0,6,2,0,94,0,0,20,106,59,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1013,703,887,623,108,0,0,166,282,320,0,0,6,5,0,79,0,0,162,264,118,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1382,612,1134,465,120,0,0,186,268,245,0,306,6,3,0,107,0,0,77,233,48,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,1842,1082,1466,748,229,0,0,280,388,413,0,116,31,9,0,196,0,0,107,339,106,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,13367,8117,11648,6457,2117,227,0,1944,3374,3808,0,0,125,53,0,1108,154,0,1660,2819,716,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,4821,3031,4203,2190,567,0,0,670,1200,1733,0,0,16,17,0,304,0,0,244,1148,494,0,0,0,0,0
280310,Itabi,4886,115,264,446,913,633,723,502,91,0,0,104,275,246,0,0,3,4,0,87,0,0,102,245,68,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,3921,2476,3355,1956,548,0,0,460,1229,1084,0,0,21,13,0,513,0,0,232,964,247,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,3040,1750,2149,1131,266,0,0,298,690,553,0,315,18,9,0,258,0,0,286,464,123,0,0,0,0,0
280340,Japoatã,13429,208,477,734,2315,1065,2049,737,212,0,0,256,495,539,0,524,10,13,0,198,0,0,83,395,61,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,18290,10890,15199,7060,3415,48,0,2008,4089,4776,0,661,141,61,0,1644,46,0,796,3327,1247,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,5995,1855,4666,1337,458,0,0,295,711,1197,0,1900,86,19,0,408,0,0,108,648,173,0,0,0,0,0
280370,Macambira,6961,178,337,535,1125,825,1074,672,91,0,0,211,449,312,0,0,9,2,0,90,0,0,127,343,112,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,467,317,422,235,101,0,0,62,124,121,0,0,9,5,0,95,0,0,45,83,12,0,0,0,0,0
280390,Malhador,12653,203,468,914,1661,1101,1364,956,147,0,0,221,489,488,0,0,9,10,0,135,0,0,218,424,179,0,0,0,0,0
280400,Maruim,17271,179,453,898,1861,1251,1751,918,257,0,0,245,551,648,0,0,45,5,0,249,0,0,151,435,83,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,1985,1445,1764,1225,131,0,0,322,601,694,0,0,8,8,0,129,0,0,320,571,205,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,1598,1124,1512,909,185,0,0,211,442,667,0,0,3,4,0,184,0,0,205,312,208,0,0,0,0,0
280430,Muribeca,7639,120,263,500,991,601,893,424,101,0,0,124,280,374,0,0,13,1,0,98,0,0,56,239,31,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,2656,1706,2243,1244,400,0,0,405,669,735,0,0,27,7,0,370,0,0,133,481,260,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,1550,1170,1435,951,138,0,0,220,447,502,0,120,3,5,0,137,0,0,214,430,170,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,4621,2671,4070,2194,802,20,0,687,1323,1187,0,0,46,5,0,507,19,0,639,1029,0,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,3779,2649,3116,1989,529,0,0,542,1057,929,0,0,42,17,0,455,0,0,455,871,208,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,987,628,892,515,116,0,0,157,293,312,0,0,11,3,0,109,0,0,76,237,93,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,18215,11215,14579,8580,2229,36,0,1466,3783,6895,0,0,105,65,0,1077,36,0,1304,3345,2818,0,0,0,0,0
280490,Pacatuba,14540,230,455,822,1659,999,1403,871,184,0,0,228,453,519,0,0,8,11,0,162,0,0,68,417,224,0,0,0,0,0
280500,Pedra Mole,3285,65,121,245,479,329,422,309,64,0,0,68,145,137,0,0,7,1,0,61,0,0,66,137,45,0,0,0,0,0
280510,Pedrinhas,9665,156,335,604,1173,713,1037,439,131,0,0,181,355,353,0,0,11,6,0,97,0,0,50,245,47,0,0,0,0,0
280520,Pinhão,6627,134,336,524,1061,761,959,695,84,0,0,127,318,416,0,0,9,5,0,80,0,0,123,294,198,0,0,0,0,0
280530,Pirambu,9359,130,267,522,1416,846,1302,646,160,0,0,157,258,471,0,229,24,3,0,153,0,0,148,234,111,0,0,0,0,0
280540,Poço Redondo,35122,399,1056,1672,4146,2736,3552,1759,400,0,0,492,1095,1218,0,300,34,13,0,268,0,0,434,909,148,0,0,0,0,0
280550,Poço Verde,23867,576,1241,1828,4061,2511,3783,1906,375,0,0,543,1095,1609,0,140,14,7,0,369,0,0,177,1018,342,0,0,0,0,0
