codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9
280010,Amparo de São Francisco,2380,51,89,140,452,172,230,92,61,0,0,41,94,34,0,0,0,49,0,0,26,17,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2794,1514,2324,588,382,18,0,471,825,484,0,144,0,296,17,0,131,144,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,90860,53620,88261,20317,24108,249,0,11585,23966,26782,65,202,1304,14341,239,0,595,5142,0,0,0,0
280040,Arauá,9947,149,348,644,981,641,944,286,155,0,0,211,432,146,0,0,0,152,0,0,95,39,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1701,1041,1412,557,252,0,0,324,539,297,0,0,0,239,0,0,133,185,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2915,1685,2506,498,537,0,0,414,855,544,0,156,0,252,0,0,145,101,0,0,0,0
280067,Boquim,26899,476,1158,1852,3356,2165,2892,730,578,9,0,560,1166,579,0,0,0,312,9,0,199,210,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1648,338,677,137,109,0,0,146,175,17,0,230,0,69,0,0,63,5,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2124,1544,1979,731,240,0,0,439,779,521,0,0,0,231,0,0,382,118,0,0,0,0
280110,Canhoba,4006,72,156,232,438,268,338,97,74,0,0,96,149,19,0,0,0,63,0,0,13,21,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2205,1365,1969,670,357,0,0,334,736,206,0,336,0,242,0,0,303,125,0,0,0,0
280130,Capela,34514,564,1121,2006,4093,1923,3242,573,637,0,0,633,1057,563,0,352,0,308,0,0,183,82,0,0,0,0
280140,Carira,22239,450,956,1559,2522,1762,3887,821,241,0,0,505,969,2172,0,0,0,227,0,0,415,179,0,0,0,0
280150,Carmópolis,16937,117,294,770,1041,661,883,295,278,0,0,139,324,142,0,0,0,237,0,0,58,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,807,497,705,222,130,0,0,131,280,164,0,0,0,126,0,0,51,45,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1637,1117,1366,521,296,0,0,291,446,333,0,0,0,295,0,0,133,93,0,0,0,0
280190,Cumbe,3998,94,198,262,774,344,539,169,70,0,0,95,198,106,0,70,0,68,0,0,35,66,0,0,0,0
280200,Divina Pastora,5215,69,155,317,487,323,481,204,118,0,0,77,148,138,0,0,0,110,0,0,32,62,0,0,0,0
280210,Estância,69556,1093,2308,4544,7868,4281,7127,1247,1676,33,0,1155,2223,1818,0,222,0,682,33,0,423,109,0,0,0,0
280220,Feira Nova,5601,100,217,383,603,403,457,189,70,0,0,99,208,80,0,0,0,68,0,0,86,35,0,0,0,0
