codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9
280010,Amparo de São Francisco,2380,51,89,140,422,162,230,92,61,0,0,41,94,34,0,0,0,49,0,0,26,17,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2504,1384,2023,478,360,18,0,470,805,370,0,0,0,293,17,0,99,69,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,80740,43770,84640,18702,22715,249,0,11585,23966,25164,64,202,695,14341,239,0,595,3527,0,0,0,0
280040,Arauá,9947,149,348,644,872,602,944,223,155,0,0,211,432,146,0,0,0,151,0,0,62,10,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1501,961,1404,523,244,0,0,324,539,297,0,0,0,237,0,0,129,157,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2565,1455,2209,459,530,0,0,412,853,414,0,0,0,252,0,0,119,88,0,0,0,0
280067,Boquim,26899,476,1158,1852,2986,1836,2623,727,578,9,0,419,1158,459,0,0,0,312,9,0,198,208,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1558,308,415,103,108,0,0,142,164,1,0,0,0,69,0,0,34,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,1895,1435,1892,731,240,0,0,421,778,453,0,0,0,231,0,0,382,118,0,0,0,0
280110,Canhoba,4006,72,156,232,388,248,338,97,74,0,0,96,149,19,0,0,0,63,0,0,13,21,0,0,0,0
