codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9
280120,Canindé de São Francisco,30402,278,703,1214,1955,1265,1896,670,357,0,0,334,736,206,0,263,0,242,0,0,303,125,0,0,0,0
280130,Capela,34514,564,1121,2006,3793,1763,3233,573,632,0,0,632,1057,560,0,352,0,308,0,0,183,82,0,0,0,0
280140,Carira,22239,450,956,1559,2212,1632,1930,816,241,0,0,505,961,223,0,0,0,227,0,0,414,175,0,0,0,0
280150,Carmópolis,16937,117,294,770,901,621,883,295,278,0,0,139,324,142,0,0,0,237,0,0,58,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,708,458,705,222,130,0,0,131,280,164,0,0,0,126,0,0,51,45,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1447,1037,1311,474,296,0,0,290,440,285,0,0,0,295,0,0,122,57,0,0,0,0
280190,Cumbe,3998,94,198,262,544,314,539,169,70,0,0,95,198,106,0,70,0,68,0,0,35,66,0,0,0,0
280200,Divina Pastora,5215,69,155,317,434,304,448,194,118,0,0,77,145,108,0,0,0,110,0,0,31,53,0,0,0,0
280210,Estância,69556,1093,2308,4544,6608,3688,7127,1247,1676,33,0,1155,2223,1818,0,222,0,682,33,0,423,109,0,0,0,0
280220,Feira Nova,5601,100,217,383,513,373,455,180,70,0,0,98,208,79,0,0,0,68,0,0,84,28,0,0,0,0
280230,Frei Paulo,15556,294,608,994,1635,1095,1616,620,207,0,0,303,572,374,0,160,0,170,0,0,274,176,0,0,0,0
280240,Gararu,11601,203,448,701,1033,763,888,308,137,0,0,255,427,69,0,0,0,107,0,0,169,32,0,0,0,0
280250,General Maynard,3384,47,109,207,323,223,345,143,98,0,0,53,104,90,0,0,0,87,0,0,18,38,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,693,523,655,223,88,0,0,166,260,141,0,0,0,72,0,0,144,7,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1062,432,656,189,107,0,0,186,254,109,0,0,0,87,0,0,64,38,0,0,0,0
280280,Indiaroba,18149,221,453,850,1312,752,1139,318,210,0,0,274,433,222,0,0,0,168,0,0,89,61,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,9767,6687,9326,3226,2009,148,0,1905,3295,1969,0,0,0,1091,148,0,1516,471,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,3391,2001,3173,739,545,0,0,667,1168,793,0,0,0,288,0,0,208,243,0,0,0,0
280310,Itabi,4886,115,264,446,613,463,563,199,91,0,0,102,270,100,0,0,0,83,0,0,98,18,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,2696,1776,2711,795,507,0,0,458,1198,548,0,0,0,464,0,0,205,126,0,0,0,0
280330,Japaratuba,18907,302,670,1215,1710,1270,1412,582,261,0,0,299,619,233,0,0,0,246,0,0,218,118,0,0,0,0
280340,Japoatã,13429,208,477,734,1845,745,1605,276,207,0,0,251,469,183,0,495,0,164,0,0,62,50,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,13330,7275,11872,2864,3314,48,0,2000,3988,2128,0,394,0,1525,45,0,660,634,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,5045,1325,1914,570,428,0,0,291,689,407,0,99,0,394,0,0,93,83,0,0,0,0
280370,Macambira,6961,178,337,535,795,595,866,290,89,0,0,188,443,146,0,0,0,70,0,0,120,100,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,337,247,297,87,98,0,0,74,124,1,0,0,0,81,0,0,6,0,0,0,0,0
280390,Malhador,12653,203,468,914,1071,771,989,437,135,0,0,218,446,190,0,0,0,120,0,0,211,106,0,0,0,0
280400,Maruim,17271,179,453,898,1211,921,1209,498,252,0,0,254,494,209,0,0,0,237,0,0,142,119,0,0,0,0
280410,Moita Bonita,11348,318,611,904,1405,1065,1399,554,130,0,0,320,588,361,0,0,0,127,0,0,314,113,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,1078,798,1204,446,184,0,0,210,415,395,0,0,0,150,0,0,194,102,0,0,0,0
280430,Muribeca,7639,120,263,500,661,421,668,198,99,0,0,124,274,171,0,0,0,88,0,0,52,58,0,0,0,0
280440,Neópolis,18703,361,698,1274,1876,1216,1795,367,379,0,0,342,632,442,0,0,0,261,0,0,58,48,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,1130,740,1043,363,138,0,0,214,441,250,0,0,0,130,0,0,203,30,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,3231,2311,3206,1207,766,20,0,680,1292,448,0,0,0,428,19,0,544,216,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,2559,1949,2279,1029,441,0,0,577,801,460,0,0,0,387,0,0,575,67,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,678,448,653,227,113,0,0,157,266,117,0,0,0,107,0,0,71,49,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,11256,7545,11879,3131,2174,36,0,1454,3677,4538,0,0,0,1054,36,0,1179,862,0,0,0,0
280490,Pacatuba,14540,230,455,822,1099,679,1082,300,173,0,0,227,443,239,0,0,0,138,0,0,62,100,0,0,0,0
280500,Pedra Mole,3285,65,121,245,319,239,316,153,60,0,0,66,136,54,0,0,0,52,0,0,63,38,0,0,0,0
280510,Pedrinhas,9665,156,335,604,783,493,760,146,114,0,0,179,324,143,0,0,0,88,0,0,38,20,0,0,0,0
280520,Pinhão,6627,134,336,524,731,541,739,295,80,0,0,126,309,224,0,0,0,76,0,0,117,102,0,0,0,0
280530,Pirambu,9359,130,267,522,1046,656,841,309,156,0,0,155,310,185,0,35,0,151,0,0,138,20,0,0,0,0
280540,Poço Redondo,35122,399,1056,1672,3056,1906,2747,902,390,0,0,477,1039,681,0,160,0,245,0,0,412,245,0,0,0,0
280550,Poço Verde,23867,576,1241,1828,2931,1731,2376,652,358,0,0,535,1027,456,0,0,0,305,0,0,139,208,0,0,0,0
280560,Porto da Folha,28693,477,1002,1660,3027,2097,3016,1289,391,0,260,492,1000,544,0,329,0,340,0,260,471,218,0,0,0,0
280570,Propriá,29692,524,990,1914,2859,1739,2862,747,913,21,0,575,825,528,0,0,0,393,21,0,157,176,0,0,0,0
280580,Riachão do Dantas,19809,386,781,1181,2313,1303,2108,607,300,0,0,463,838,362,0,145,0,296,0,0,171,140,0,0,0,0
280590,Riachuelo,10284,116,275,517,1055,585,768,311,201,0,0,132,243,192,0,0,0,197,0,0,63,51,0,0,0,0
280600,Ribeirópolis,18773,438,892,1340,2123,1643,2066,900,364,48,0,439,821,394,0,0,0,282,48,0,386,184,0,0,0,0
280610,Rosário do Catete,11008,97,240,544,824,654,769,371,254,0,0,130,281,104,0,0,0,254,0,0,117,0,0,0,0,0
280620,Salgado,20025,352,780,1250,1867,1407,1837,729,265,0,0,406,800,366,0,0,0,227,0,0,348,154,0,0,0,0
280630,Santa Luzia do Itanhy,14121,156,374,758,3736,606,1292,217,151,0,0,179,374,153,0,435,0,134,0,0,47,36,0,0,0,0
280650,Santa Rosa de Lima,3923,88,163,239,522,332,565,139,99,0,0,136,251,79,0,0,0,85,0,0,43,11,0,0,0,0
280640,Santana do São Francisco,7844,111,218,375,453,303,455,154,95,0,0,93,175,92,0,0,0,90,0,0,23,41,0,0,0,0
280660,Santo Amaro das Brotas,12151,205,399,774,1023,773,1179,354,165,0,0,233,403,378,0,0,0,152,0,0,200,2,0,0,0,0
280670,São Cristóvão,91093,989,2400,5663,6482,3782,6207,964,1189,26,0,1050,2030,1912,0,0,0,555,25,0,262,122,0,0,0,0
280680,São Domingos,11207,218,488,817,1106,806,1082,390,156,0,0,191,471,264,0,0,0,113,0,0,191,86,0,0,0,0
280690,São Francisco,3781,64,138,246,349,229,304,91,70,0,0,61,69,104,0,0,0,49,0,0,16,26,0,0,0,0
280700,São Miguel do Aleixo,3947,83,169,283,439,349,448,182,89,0,0,93,182,84,0,0,0,89,0,0,90,3,0,0,0,0
280710,Simão Dias,40606,914,1749,2657,4550,2580,4289,982,728,12,0,1109,1751,654,0,35,0,368,12,0,334,268,0,0,0,0
280720,Siriri,8970,154,316,533,953,603,834,362,138,0,0,159,288,249,0,0,0,121,0,0,151,90,0,0,0,0
280730,Telha,3249,49,100,178,309,219,309,128,82,0,0,59,101,67,0,0,0,78,0,0,26,24,0,0,0,0
280740,Tobias Barreto,52530,1046,2188,3513,5388,3258,5439,1312,956,33,0,1281,1994,1175,0,0,0,509,33,0,382,388,0,0,0,0
280750,Tomar do Geru,13535,208,446,760,1066,676,1042,253,161,0,0,203,419,259,0,0,0,124,0,0,99,30,0,0,0,0
280760,Umbaúba,25550,308,725,1482,1908,1258,1888,418,363,0,0,360,657,508,0,0,0,355,0,0,63,0,0,0,0,0
