codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549
280010,Amparo de São Francisco,2380,51,89,140,890,306,757,237,63,0,0,42,97,138,0,182,27,0,0,0,1,151,39,1,0,0,16,0,0,0,0,0,0,0,0,63,0,0,40,84,38,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,6258,2964,5123,2282,451,18,0,481,858,1381,0,159,24,13,6,9,23,522,744,0,0,0,35,41,40,236,0,0,82,0,0,381,17,0,300,806,760,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,209319,93970,180964,60056,36069,349,0,11895,25144,46506,73,202,4509,373,0,0,93,34752,5461,280,628,441,817,1081,0,12291,0,0,0,0,0,21853,339,0,7284,16147,13521,41,50,603,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2510,1082,2248,1066,166,0,0,211,466,641,0,0,12,9,1,0,104,340,190,0,0,0,12,10,26,60,0,0,0,0,0,162,0,0,200,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5073,1701,4256,1500,271,0,0,337,576,1013,0,0,61,8,0,1,116,638,241,171,0,0,24,3,35,323,0,0,0,438,0,253,0,0,272,560,402,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,7668,3605,6329,2787,591,0,0,427,881,1678,0,201,70,24,5,4,69,1331,491,0,0,0,112,0,0,37,0,408,0,0,0,484,0,0,283,861,1103,0,1,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,7309,3436,6351,3036,667,9,0,566,1198,1766,0,0,52,23,1,4,96,1245,362,0,0,0,50,45,73,194,0,0,0,0,0,572,9,0,507,1180,730,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2686,628,2258,525,147,0,0,154,199,434,0,674,14,0,0,4,2,444,159,0,0,0,0,0,0,27,0,0,0,0,0,131,0,0,139,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,4960,2325,4381,2035,286,0,0,437,804,1205,0,0,12,22,3,3,145,541,314,0,0,0,29,48,122,410,0,0,0,0,0,240,0,0,429,776,560,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1042,458,904,362,91,0,0,100,176,352,0,0,8,2,0,0,6,92,68,0,0,0,0,1,0,8,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,5671,1975,5574,1895,477,0,0,343,813,1243,0,412,75,13,5,14,101,1240,384,0,0,0,56,16,29,286,19,0,48,0,0,358,0,0,333,769,390,0,0,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,8836,3563,7515,2321,773,0,0,562,1110,1769,0,587,48,18,4,5,55,1727,428,0,0,0,102,12,37,186,0,0,16,76,0,607,0,0,513,864,323,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,5834,2812,5470,2702,325,0,0,510,963,1690,0,0,17,19,0,0,62,1406,319,0,0,0,20,0,47,92,0,0,0,0,0,280,0,0,489,959,949,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,3071,1081,2537,863,330,0,0,122,328,757,0,0,122,10,1,1,25,421,233,0,0,0,87,0,25,75,0,0,0,0,0,254,0,0,86,282,203,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1813,839,1590,836,154,0,0,117,309,368,0,0,9,7,0,1,12,367,123,0,0,0,14,0,0,106,0,0,0,3,0,131,0,0,138,306,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
