codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034
280010,Amparo de São Francisco,2380,51,89,140,1124,546,30,1122,395,29,72,0,0,42,99,141,0,183,27,0,208,44,1,0,0,19,0,0,37,0,0,2,42,49,56,10,0,58,3,65,0,0,40,94,41,0,135,13,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3
280020,Aquidabã,21681,481,932,1543,8471,3564,210,8374,2505,210,473,18,0,485,864,1420,0,159,24,44,629,806,0,0,0,47,42,68,518,0,0,106,660,768,688,51,12,489,3,385,17,0,425,820,820,0,1,19,0,8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,2,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0
280030,Aracaju,664908,10149,24138,47854,300834,111160,11665,309031,92624,9720,38056,249,0,11966,25307,47310,324,203,4871,0,37810,9752,284,630,450,823,1246,0,127426,0,0,55,0,0,0,2269,0,0,0,23512,235,0,11555,23784,31299,43,137,1673,0,340,1,0,1,0,1,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,3529,1252,100,3485,1077,25,171,0,0,211,466,641,0,0,12,112,385,204,0,0,0,12,12,36,277,0,0,30,325,548,0,35,8,0,0,162,0,0,211,466,229,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,6884,1971,185,6708,2240,198,294,0,0,338,579,1032,1,0,62,127,672,254,180,494,0,28,24,65,451,0,0,0,645,651,615,61,13,116,6,253,0,0,305,564,410,0,0,10,1,8,0,0,0,0,18,1,2,7,0,0,0,8,18,635,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2
280060,Barra dos Coqueiros,30930,358,816,1754,11409,4305,845,11212,2990,958,611,0,0,436,880,1731,1,201,85,104,1506,565,0,0,0,114,18,3,711,0,506,253,1039,1387,890,132,36,3,0,506,0,0,387,870,1166,0,5,39,1,3,0,0,0,0,0,0,0,5,0,0,0,2,5,1,0,0,0,0,3,0,0,0,2,15,0,136,0,0,39,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2
280067,Boquim,26899,476,1158,1852,10215,3896,255,9727,3171,251,718,9,0,570,1198,1798,0,0,68,143,1421,400,0,0,0,54,54,127,692,0,0,300,769,768,545,70,23,0,0,598,9,0,523,1183,745,0,0,22,0,19,61,0,0,0,0,2,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0
280070,Brejo Grande,8353,121,199,417,3537,1778,75,3254,967,53,155,0,0,154,200,444,0,699,14,7,465,250,0,0,0,0,0,0,146,0,0,0,176,204,201,17,5,114,3,142,0,0,151,192,63,0,410,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,38,0
280100,Campo do Brito,18218,408,774,1318,6736,2665,175,6307,2037,175,324,0,0,438,812,1213,0,0,14,160,601,329,0,0,0,31,52,206,549,0,0,20,661,577,215,85,18,2,0,242,0,0,429,780,576,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0
280110,Canhoba,4006,72,156,232,1464,518,40,1538,455,40,120,0,0,103,175,356,0,0,8,22,151,75,0,0,0,19,4,0,163,0,0,0,207,103,9,20,3,0,0,80,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
