codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6
280010,Amparo de São Francisco,2380,51,89,140,142,52,124,50,56,0,0,41,27,0,45,0,0,5,0,0
280020,Aquidabã,21681,481,932,1543,1183,372,961,341,299,18,0,445,199,0,255,17,0,69,0,0
280030,Aracaju,664908,10149,24138,47854,45240,13230,44433,13272,19243,243,0,10105,14842,0,13036,236,0,0,0,0
280040,Arauá,9947,149,348,644,502,172,403,172,152,0,0,179,72,0,142,0,0,30,0,0
280050,Areia Branca,18686,281,548,1047,808,285,723,265,239,0,0,314,170,0,228,0,0,37,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,1295,295,990,262,498,0,0,379,113,0,210,0,0,52,0,0
280067,Boquim,26899,476,1158,1852,1606,366,1388,373,558,9,0,547,274,0,264,9,0,100,0,0
280070,Brejo Grande,8353,121,199,417,288,78,215,79,68,0,0,141,6,0,55,0,0,24,0,0
280100,Campo do Brito,18218,408,774,1318,1019,309,797,302,233,0,0,407,157,0,215,0,0,87,0,0
280110,Canhoba,4006,72,156,232,218,68,172,61,63,0,0,91,18,0,51,0,0,10,0,0
280120,Canindé de São Francisco,30402,278,703,1214,865,275,801,263,270,0,0,321,210,0,209,0,0,54,0,0
280130,Capela,34514,564,1121,2006,1723,343,1260,338,558,0,0,591,111,0,225,0,0,113,0,0
280140,Carira,22239,450,956,1559,1102,292,894,276,232,0,0,444,218,0,200,0,0,76,0,0
280150,Carmópolis,16937,117,294,770,531,261,478,256,251,0,0,135,92,0,235,0,0,21,0,0
280160,Cedro de São João,5913,140,291,399,378,128,319,127,126,0,0,127,66,0,113,0,0,14,0,0
280170,Cristinápolis,18029,202,496,876,847,417,623,306,295,0,0,222,106,0,276,0,0,30,0,0
280190,Cumbe,3998,94,198,262,253,83,228,77,68,0,0,94,66,0,64,0,0,13,0,0
280200,Divina Pastora,5215,69,155,317,268,108,255,108,112,0,0,76,67,0,97,0,0,11,0,0
280210,Estância,69556,1093,2308,4544,3578,978,2600,964,1263,33,0,974,330,0,751,33,0,180,0,0
280220,Feira Nova,5601,100,217,383,263,73,228,75,66,0,0,90,72,0,60,0,0,15,0,0
280230,Frei Paulo,15556,294,608,994,705,205,573,200,168,0,0,274,131,0,146,0,0,54,0,0
280240,Gararu,11601,203,448,701,523,123,459,134,128,0,0,250,81,0,93,0,0,41,0,0
280250,General Maynard,3384,47,109,207,193,83,187,98,88,0,0,52,47,0,85,0,0,13,0,0
280260,Gracho Cardoso,5824,150,281,469,373,103,324,101,83,0,0,164,77,0,72,0,0,29,0,0
280270,Ilha das Flores,8521,170,275,452,372,112,297,110,87,0,0,171,39,0,77,0,0,33,0,0
280280,Indiaroba,18149,221,453,850,632,212,496,207,180,0,0,242,74,0,167,0,0,40,0,0
