codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10
280010,Amparo de São Francisco,2380,51,89,140,502,202,402,155,63,0,0,41,94,41,0,153,10,0,49,0,0,26,80,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3174,1934,2632,948,384,18,0,474,836,757,0,144,16,3,298,17,0,142,491,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,102570,53660,101308,27638,26183,249,0,11675,24408,36502,73,202,1675,341,16766,239,0,803,9789,0,41,0,0,0
280040,Arauá,9947,149,348,644,1172,792,1060,447,162,0,0,211,436,241,0,0,0,10,162,0,0,111,174,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1971,1321,1548,813,255,0,0,330,552,399,0,0,10,2,239,0,0,140,434,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3395,2115,2860,1191,547,0,0,421,868,781,0,189,37,17,365,0,0,164,662,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,3816,2656,3090,1586,579,9,0,562,1179,736,0,0,16,9,312,9,0,221,1044,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1758,438,1128,254,133,0,0,152,183,118,0,532,10,0,90,0,0,63,101,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2465,1895,2051,1276,240,0,0,439,782,562,0,0,10,18,233,0,0,386,657,0,0,0,0,0
280110,Canhoba,4006,72,156,232,498,338,412,161,77,0,0,97,166,52,0,0,10,10,63,0,0,35,63,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2765,1675,2217,1232,358,0,0,337,762,390,0,336,27,7,341,0,0,324,567,0,0,0,0,0
280130,Capela,34514,564,1121,2006,4643,2023,3798,1216,642,0,0,633,1075,830,0,581,23,14,405,0,0,239,572,0,0,0,0,0
280140,Carira,22239,450,956,1559,2872,2212,2160,991,244,0,0,506,919,485,0,0,0,6,231,0,0,445,315,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1291,831,1010,467,278,0,0,139,323,265,0,0,0,5,252,0,0,47,168,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,908,617,804,299,130,0,0,131,285,246,0,0,7,5,127,0,0,51,121,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1817,1317,1580,753,297,0,0,292,458,519,0,0,10,4,296,0,0,144,313,0,0,0,0,0
280190,Cumbe,3998,94,198,262,844,414,673,290,70,0,0,95,198,134,0,170,6,0,69,0,0,35,186,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,588,398,506,286,118,0,0,78,147,152,0,0,10,1,116,0,0,32,138,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,9538,4528,7844,3101,1637,33,0,1161,2224,2499,0,222,40,28,699,33,0,1103,1266,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,693,513,570,248,74,0,0,100,232,155,0,0,8,1,68,0,0,88,92,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,2075,1455,1960,1010,210,0,0,305,579,674,0,180,9,3,202,0,0,282,526,0,0,0,0,0
280240,Gararu,11601,203,448,701,1343,1033,1208,629,140,4,0,257,510,283,0,0,10,4,119,4,0,239,267,0,0,0,0,0
280250,General Maynard,3384,47,109,207,433,293,379,215,98,0,0,53,106,118,0,0,3,1,90,0,0,20,105,0,0,0,0,0
