codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose1_grupo16,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,642,232,539,213,63,0,0,42,96,135,0,177,26,0,0,0,0,0,0,0,57,0,0,26,84,37,0,0,9,0,0
280020,Aquidabã,21681,481,932,1543,4544,2314,3603,2066,415,18,0,481,855,1352,0,158,24,13,0,0,3,3,281,0,380,17,0,164,773,717,0,0,15,0,0
280030,Aracaju,664908,10149,24138,47854,149225,66350,141802,48593,34642,349,0,11818,25023,45263,73,202,3165,366,128,0,0,4,20769,0,21050,339,0,2493,14557,9260,43,50,590,211,0
280040,Arauá,9947,149,348,644,1812,942,1760,966,165,0,0,211,466,639,0,0,11,9,0,0,0,22,237,0,162,0,0,111,465,220,0,0,0,8,0
280050,Areia Branca,18686,281,548,1047,3071,1521,2592,1361,263,0,0,336,574,982,0,0,61,8,0,0,1,38,329,0,253,0,0,147,555,393,0,0,10,3,0
280060,Barra dos Coqueiros,30930,358,816,1754,5235,3375,4718,2596,588,0,0,426,876,1639,0,201,70,23,0,1,2,20,872,0,444,0,0,195,848,1059,0,1,34,15,0
280067,Boquim,26899,476,1158,1852,5631,3106,4861,2661,638,9,0,564,1196,1722,0,0,34,23,0,1,2,28,644,0,503,9,0,230,1175,712,0,0,17,15,0
280070,Brejo Grande,8353,121,199,417,2168,548,2091,453,143,0,0,153,199,423,0,674,14,0,0,0,1,0,421,63,130,0,0,68,190,60,0,0,5,0,0
280100,Campo do Brito,18218,408,774,1318,3660,2205,3183,2013,275,0,0,437,804,1167,0,0,10,21,0,3,3,79,384,0,240,0,0,427,764,554,0,0,8,20,0
280110,Canhoba,4006,72,156,232,733,408,788,346,87,0,0,100,176,350,0,0,8,2,0,0,0,3,62,0,78,0,0,43,157,60,0,0,8,0,0
