codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,532,212,460,189,63,0,0,41,94,89,0,153,20,0,0,54,0,0,26,83,26,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3354,2004,2959,1482,391,18,0,477,845,1056,0,144,20,8,0,350,17,0,155,693,267,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,110715,55200,108319,35179,27253,249,0,11763,24707,41817,71,202,1958,288,11,17317,239,0,909,15116,1557,41,0,0,0,0
280040,Arauá,9947,149,348,644,1322,812,1326,736,162,0,0,211,466,471,0,0,7,9,0,162,0,0,113,461,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,2252,1371,1984,1192,257,0,0,334,564,789,0,0,35,5,0,242,0,0,143,529,278,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3775,2195,3354,1592,558,0,0,424,862,1242,0,201,47,20,0,279,0,0,178,788,347,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,4166,2746,3773,2112,593,9,0,563,1188,1377,0,0,25,18,0,322,9,0,226,1131,424,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1848,458,1475,331,133,0,0,153,192,330,0,657,10,0,0,92,0,0,65,173,1,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2755,1955,2630,1555,254,0,0,439,784,1124,0,0,10,19,0,238,0,0,429,692,196,0,0,0,0,0
280110,Canhoba,4006,72,156,232,548,348,455,266,80,0,0,97,171,97,0,0,10,0,0,73,0,0,42,136,15,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,3035,1735,2711,1587,404,0,0,341,789,736,0,392,39,10,0,347,0,0,325,725,190,0,0,0,0,0
280130,Capela,34514,564,1121,2006,5043,2093,4378,1617,657,0,0,636,1263,1200,0,582,25,15,0,413,0,0,241,832,131,0,0,0,0,0
280140,Carira,22239,450,956,1559,3172,2292,2599,1695,287,0,0,508,939,841,0,0,12,12,0,236,0,0,457,833,169,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1481,861,1383,546,281,0,0,140,325,596,0,0,33,8,0,254,0,0,47,137,108,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,988,637,921,567,132,0,0,117,307,350,0,0,9,6,0,130,0,0,52,283,102,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,2017,1367,1765,1017,301,0,0,292,478,677,0,0,11,6,0,299,0,0,147,416,155,0,0,0,0,0
280190,Cumbe,3998,94,198,262,904,424,759,404,70,0,0,98,198,215,0,170,8,0,0,70,0,0,39,196,99,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,668,408,579,386,127,0,0,79,147,213,0,0,12,1,0,116,0,0,32,145,93,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,10398,5298,9593,3330,1637,33,0,1161,2316,3992,0,261,163,30,0,797,33,0,1103,1397,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,773,533,592,325,74,0,0,100,232,177,0,0,8,1,0,70,0,0,98,157,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,2275,1505,2219,1387,212,0,0,307,590,918,0,180,9,3,0,205,0,0,286,558,338,0,0,0,0,0
280240,Gararu,11601,203,448,701,1463,1063,1385,822,140,4,0,257,515,450,0,0,14,5,0,125,4,0,242,404,47,0,0,0,0,0
280250,General Maynard,3384,47,109,207,483,303,453,279,101,0,0,53,106,185,0,0,6,2,0,94,0,0,20,106,59,0,0,0,0,0
