codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose1_grupo37_1819,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose2_grupo37_1819,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024,aplicadas_dose_unica_grupo37_1819
280010,Amparo de São Francisco,2380,51,89,140,1569,1160,30,1557,892,30,72,0,0,42,99,146,0,183,27,0,208,45,1,0,0,19,0,0,43,0,0,2,45,60,68,19,0,96,103,10,102,117,50,69,0,0,41,98,138,0,182,27,0,130,29,1,0,0,16,0,0,9,0,0,1,8,17,20,16,0,38,25,5,27,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,1,0,0
280020,Aquidabã,21681,481,932,1543,14193,7852,210,12252,4840,210,473,0,0,485,870,1446,0,166,24,48,644,811,0,0,0,47,42,68,581,0,0,106,750,893,882,68,15,800,892,10,848,889,394,440,17,0,442,849,1340,0,143,28,18,358,622,0,0,0,18,2,4,52,0,0,2,68,61,134,18,7,107,55,1,54,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,454195,250672,12715,442702,154704,12517,39358,925,3,12255,25558,46140,309,204,5135,905,29709,8333,284,630,453,824,1093,12,22391,701,5,762,25698,28897,33723,3042,582,29483,36707,119,36766,38345,13351,36459,1209,0,11637,31869,42788,64,144,3405,242,9521,1678,75,461,131,194,325,4,3590,117,3,10,2474,1127,1369,971,387,1217,999,27,1633,542,59,225,79,0,4,3,4,87,0,35,0,76,335,0,17,1,0,5,0,10900,3,0,13,0,2,4,0,1,262,37,0,334,3,87
280040,Arauá,9947,149,348,644,6333,3834,100,6546,2820,102,174,0,0,211,468,652,0,0,12,113,386,204,0,0,0,12,12,36,322,0,0,30,348,764,417,72,12,731,562,26,418,417,147,167,0,0,211,471,665,0,1,10,41,259,37,0,0,0,12,0,0,95,0,0,30,496,95,72,0,3,122,31,0,2,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,11844,6807,185,11895,4652,198,300,0,0,342,587,1058,1,0,63,128,673,256,180,529,0,28,25,67,483,0,0,0,704,769,859,87,18,877,923,1,1170,1384,383,259,0,0,312,579,1125,0,0,58,18,76,168,0,0,0,18,1,4,248,0,0,0,166,195,897,27,9,159,180,0,118,30,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,19247,9568,845,19820,6259,967,637,0,0,437,887,1769,1,201,85,104,1531,565,0,0,0,114,18,3,789,0,506,253,1191,1648,1466,194,49,1787,1592,43,1616,1681,653,547,0,0,391,889,1725,0,37,63,32,662,312,0,0,0,37,0,1,350,2,258,140,215,170,109,7,1,206,57,0,25,18,5,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0,0
280067,Boquim,26899,476,1158,1852,17639,9141,255,15709,6592,252,722,0,0,572,1204,1826,0,0,68,152,1434,400,0,0,0,54,56,127,794,0,0,300,929,1065,1075,115,37,1135,1067,25,1065,1013,474,622,9,0,531,1195,1707,0,0,26,4,291,150,0,0,0,6,4,3,626,0,0,1,351,450,144,34,9,221,187,0,15,6,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,1,0
280070,Brejo Grande,8353,121,199,417,5088,3527,75,4868,2090,75,155,0,0,155,205,451,0,712,14,16,465,255,0,0,0,0,0,0,164,0,0,0,200,252,296,49,13,287,351,14,308,344,162,153,0,0,156,208,328,0,598,12,1,340,137,0,0,0,0,0,0,5,0,0,0,14,29,54,5,0,27,17,0,5,1,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0,0
280100,Campo do Brito,18218,408,774,1318,11870,6804,175,11295,4522,175,337,0,0,438,816,1238,0,0,15,160,614,333,0,0,0,32,52,218,599,0,0,20,753,783,715,113,21,919,796,22,845,1048,408,302,0,0,432,790,1136,0,0,12,39,288,229,0,0,0,13,31,15,287,0,0,0,196,207,185,38,3,183,122,5,8,4,2,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,2649,1843,40,2494,954,40,108,0,0,97,178,250,0,147,8,22,156,106,0,0,0,17,4,0,149,0,0,0,189,147,180,15,4,156,192,0,140,137,92,87,0,0,97,178,178,0,53,8,6,70,43,0,0,0,2,0,0,4,0,0,0,8,20,45,1,0,60,84,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,11,18,4,0,0,2,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,17681,7061,275,16740,5742,275,599,0,0,347,826,1314,0,437,80,152,1410,414,0,0,0,64,21,69,673,20,0,86,918,1072,1229,247,54,1349,1359,68,1402,1754,776,560,0,0,340,829,1297,0,394,74,75,1182,327,0,0,0,33,15,27,100,2,0,29,67,41,77,129,41,96,4,19,3,0,0,21,0,0,0,0,4,0,0,0,4,13,7,0,0,0,8,1,10,20,0,0,0,25,77,85,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,22165,10866,315,18683,5878,357,836,0,0,565,1119,1869,0,596,54,38,1994,523,0,0,0,114,17,103,692,0,0,229,837,1052,1382,199,45,1529,1528,0,1420,1337,605,688,0,0,571,989,1440,0,500,52,29,929,194,0,0,0,4,1,2,73,0,0,1,37,46,114,66,15,51,69,0,5,1,1,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,1,6,32,32,0,2,30,232,0,0,0,0
280140,Carira,22239,450,956,1559,14159,8127,195,13407,5351,194,370,0,0,514,971,1766,0,0,18,80,1614,375,0,0,0,26,0,93,535,0,0,4,678,822,866,68,32,937,1026,11,1085,1060,456,293,0,0,492,996,1445,0,0,12,33,181,91,0,0,0,9,0,1,357,0,0,0,318,244,260,7,1,225,266,2,108,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,20,50,57,0,0,58,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,10101,4595,155,8452,2250,155,363,0,0,123,333,785,0,0,122,37,706,240,0,0,0,87,2,27,356,0,0,150,456,552,634,63,11,760,747,10,826,569,493,265,0,0,90,166,655,0,0,44,0,157,45,0,0,0,20,0,0,110,0,0,7,94,203,116,20,7,131,106,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,12,65,0,0,68,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,3876,2493,60,3484,1557,60,169,0,0,118,310,375,0,0,9,19,429,130,0,0,0,17,0,0,193,0,0,0,211,260,219,18,3,228,232,11,207,237,89,150,0,0,141,310,378,0,0,8,0,290,113,0,0,0,4,0,0,7,0,0,0,11,23,37,2,3,35,44,2,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,10,17,0,0,21,0,0,0,0,0
