codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,532,212,492,189,63,0,0,42,96,117,0,153,21,0,0,54,0,0,26,83,26,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3354,2004,3057,1533,394,18,0,478,849,1145,0,144,20,9,0,351,17,0,156,718,291,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,110715,55200,110181,35233,28420,249,0,11763,24707,42112,71,202,2273,348,36,17324,239,0,909,15163,1557,41,0,1,0,0
280040,Arauá,9947,149,348,644,1322,812,1326,736,162,0,0,211,466,471,0,0,7,9,0,162,0,0,113,461,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,2252,1371,2092,1192,260,0,0,334,568,864,0,0,61,5,0,242,0,0,143,529,278,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3775,2195,3516,1603,560,0,0,424,867,1372,0,201,70,22,0,280,0,0,178,787,358,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,4166,2746,3868,2119,598,9,0,563,1189,1464,0,0,27,18,0,323,9,0,226,1133,428,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1848,458,1475,331,133,0,0,153,192,330,0,657,10,0,0,92,0,0,65,173,1,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2755,1955,2664,1555,259,0,0,439,784,1153,0,0,10,19,0,238,0,0,429,692,196,0,0,0,0,0
280110,Canhoba,4006,72,156,232,548,348,469,294,80,0,0,97,171,111,0,0,10,0,0,74,0,0,42,143,35,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,3035,1735,2946,1602,419,0,0,340,793,953,0,392,39,10,0,350,0,0,325,731,196,0,0,0,0,0
280130,Capela,34514,564,1121,2006,5043,2093,4520,1583,661,0,0,639,1093,1504,0,582,25,16,0,436,0,0,241,829,77,0,0,0,0,0
280140,Carira,22239,450,956,1559,3172,2292,3357,1984,306,0,0,508,956,1561,0,0,12,14,0,240,0,0,466,895,383,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1481,861,1642,437,281,0,0,140,325,855,0,0,33,8,0,254,0,0,46,137,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,988,637,936,567,139,0,0,117,307,358,0,0,9,6,0,130,0,0,52,283,102,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,2017,1367,1765,1017,301,0,0,292,478,677,0,0,11,6,0,299,0,0,147,416,155,0,0,0,0,0
